msisdn,offerId,price,validity,On-net Mins,Off-net Mins,SMS,Data,Social Data,creation_date,expire_date,Consumed_On-net Mins,Consumed_Off-net Mins,Consumed_SMS,Consumed_Data,Consumed_Social Data
3000000002,1110,6030,3,2800,1200,1000,0,0,03/08/2024,06/08/2024,1427,882,275,0,0
3000000002,1148,11.95,1,0,0,0,50,0,09/09/2024,10/09/2024,0,0,0,15,0
3000000002,1070,868,3,2000,150,2000,2000,0,03/10/2024,06/10/2024,1801,41,130,1223,0
3000000002,1510,500,1,0,0,2000,2048,0,27/11/2024,28/11/2024,0,0,1176,787,0
3000000002,1478,121,3,1000,40,0,1024,0,07/12/2024,10/12/2024,590,22,0,658,0
3000000002,2893,695,7,500,100,500,0,20480,08/12/2024,15/12/2024,309,66,387,0,15825
3000000002,1528,220,3,0,0,0,7168,1024,09/12/2024,12/12/2024,0,0,0,3115,238
3000000003,1131,115,1,1000,20,1000,500,0,21/01/2024,22/01/2024,999,4,445,320,0
3000000003,1396,600,30,2000,150,2000,2000,0,06/01/2024,05/02/2024,954,58,982,1341,0
3000000003,2620,100,7,0,0,0,512,4608,30/01/2024,06/02/2024,0,0,0,267,93
3000000003,1606,15,3,0,0,0,5120,0,14/02/2024,17/02/2024,0,0,0,992,0
3000000003,1663,652,3,2500,250,2500,10240,0,02/02/2024,05/02/2024,462,38,1224,641,0
3000000003,2671,173,3,4000,80,4000,8192,0,01/02/2024,04/02/2024,2356,63,2085,1745,0
3000000003,2911,495,3,1000,150,1000,20480,0,19/03/2024,22/03/2024,775,39,651,2324,0
3000000003,1619,125,1,0,0,750,0,0,13/04/2024,14/04/2024,0,0,244,0,0
3000000003,1131,115,1,1000,20,1000,500,0,02/04/2024,03/04/2024,713,6,288,14,0
3000000003,1111,3300,1,1500,0,0,1500,0,13/04/2024,14/04/2024,694,0,0,137,0
3000000003,2656,1150,1,3500,200,3500,10240,0,23/05/2024,24/05/2024,1904,151,1364,7262,0
3000000003,1154,140,7,0,0,0,3072,0,02/06/2024,09/06/2024,0,0,0,814,0
3000000003,1451,45,7,1000,10,1000,100,0,24/07/2024,31/07/2024,489,9,847,24,0
3000000003,1508,139,3,20,20,200,4000,0,14/07/2024,17/07/2024,13,16,97,1091,0
3000000003,1472,296,30,550,20,550,1000,2000,19/08/2024,18/09/2024,189,18,169,40,1989
3000000003,1494,26,1,0,0,0,0,0,05/08/2024,06/08/2024,0,0,0,0,0
3000000003,1527,826,1,5000,150,5000,10240,0,22/08/2024,23/08/2024,1067,148,4041,10155,0
3000000003,1637,3300,3,10000,650,10000,40000,0,25/09/2024,28/09/2024,970,295,5386,19114,0
3000000003,1515,1300,7,3000,500,3000,40960,0,02/10/2024,09/10/2024,2938,158,2757,30716,0
3000000003,1501,86,7,1000,10,1000,1024,0,30/10/2024,06/11/2024,268,3,98,394,0
3000000003,2485,2100,7,2000,300,2000,1536,0,09/10/2024,16/10/2024,1036,70,355,575,0
3000000003,1484,1304.34,30,0,0,0,30720,0,10/11/2024,10/12/2024,0,0,0,29258,0
3000000003,2968,86.95,7,0,0,100,2048,0,02/11/2024,09/11/2024,0,0,76,1693,0
3000000003,1047,43,1,1440,0,50,1024,0,19/11/2024,20/11/2024,1363,0,22,230,0
3000000003,3235,2000,30,0,0,5000,204800,0,23/12/2024,22/01/2025,0,0,130,5398,0
3000000003,1558,15,3,0,0,1000,0,0,21/12/2024,24/12/2024,0,0,478,0,0
3000000004,1493,217,3,100,0,1000,10240,0,07/01/2024,10/01/2024,48,0,867,2526,0
3000000004,1050,417,3,300,50,1000,10240,0,17/01/2024,20/01/2024,285,20,236,7374,0
3000000004,1071,42,7,0,0,0,1024,0,07/01/2024,14/01/2024,0,0,0,421,0
3000000004,2884,150,3,0,0,0,5120,0,08/02/2024,11/02/2024,0,0,0,3405,0
3000000004,1159,95.6,7,0,0,0,5000,0,22/02/2024,29/02/2024,0,0,0,3264,0
3000000004,2350,1800,7,0,0,0,500,0,12/02/2024,19/02/2024,0,0,0,87,0
3000000004,1663,652,3,2500,250,2500,10240,0,24/03/2024,27/03/2024,2169,56,1914,4875,0
3000000004,2494,1091.5,3,0,0,0,20480,0,09/03/2024,12/03/2024,0,0,0,18588,0
3000000004,2515,1076,3,0,0,0,10240,5120,22/03/2024,25/03/2024,0,0,0,5143,416
3000000004,2617,100,3,0,0,0,512,4608,15/04/2024,18/04/2024,0,0,0,49,3007
3000000004,1130,13,3,300,0,300,20,0,31/05/2024,03/06/2024,117,0,270,16,0
3000000004,1146,20.32,30,0,0,0,2000,0,18/05/2024,17/06/2024,0,0,0,292,0
3000000004,1118,625,30,300,300,300,1024,0,19/06/2024,19/07/2024,155,171,202,956,0
3000000004,2503,1434,1,0,0,30,2048,0,28/07/2024,29/07/2024,0,0,14,467,0
3000000004,3250,607.83,7,3000,0,3000,30720,0,15/07/2024,22/07/2024,1831,0,2347,12719,0
3000000004,1514,200,1,0,0,1000,1024,0,24/07/2024,25/07/2024,0,0,513,406,0
3000000004,1669,22,3,0,0,6000,51200,0,10/08/2024,13/08/2024,0,0,3433,11831,0
3000000004,2329,78,1,1000,10,1000,100,0,07/08/2024,08/08/2024,485,9,851,30,0
3000000004,1381,1870,1,0,0,0,50000,0,06/08/2024,07/08/2024,0,0,0,19482,0
3000000004,2329,78,1,1000,10,1000,100,0,05/09/2024,06/09/2024,555,2,948,90,0
3000000004,1623,69,7,0,0,0,0,5120,01/10/2024,08/10/2024,0,0,0,0,3791
3000000004,2914,5975,1,0,0,0,6144,0,13/10/2024,14/10/2024,0,0,0,4926,0
3000000004,1381,1870,1,0,0,0,50000,0,21/10/2024,22/10/2024,0,0,0,28386,0
3000000004,1624,650,1,0,0,0,5000,0,19/11/2024,20/11/2024,0,0,0,4134,0
3000000004,1595,1900,30,350,225,200,0,0,30/12/2024,29/01/2025,217,78,48,0,0
3000000004,1619,125,1,0,0,750,0,0,18/12/2024,19/12/2024,0,0,459,0,0
3000000005,1383,189,30,0,0,0,0,0,30/01/2024,29/02/2024,0,0,0,0,0
3000000005,2368,17,30,0,0,0,1024,0,08/01/2024,07/02/2024,0,0,0,529,0
3000000005,1448,210,7,0,0,0,6144,0,14/01/2024,21/01/2024,0,0,0,4660,0
3000000005,1541,215,3,500,25,500,0,8192,26/02/2024,29/02/2024,388,6,41,0,7706
3000000005,2881,150,7,1000,0,0,1024,0,13/02/2024,20/02/2024,650,0,0,676,0
3000000005,1050,417,3,300,50,1000,10240,0,23/02/2024,26/02/2024,288,18,8,3853,0
3000000005,2389,3300,1,20000,1000,20000,102400,0,23/03/2024,24/03/2024,17956,500,3294,70445,0
3000000005,1396,600,30,2000,150,2000,2000,0,20/03/2024,19/04/2024,1984,32,1333,1328,0
3000000005,1547,100,1,0,0,0,0,0,03/03/2024,04/03/2024,0,0,0,0,0
3000000005,1531,23,30,0,0,0,0,1536,12/04/2024,12/05/2024,0,0,0,0,625
3000000005,2371,86.9,3,1000,0,1000,3072,10240,29/05/2024,01/06/2024,485,0,79,1289,4481
3000000005,1135,14.34,30,1440,0,1500,250,0,06/05/2024,05/06/2024,391,0,580,119,0
3000000005,1484,1304.34,30,0,0,0,30720,0,21/06/2024,21/07/2024,0,0,0,10121,0
3000000005,1117,1250,1,4500,300,150,1024,0,28/07/2024,29/07/2024,2182,19,20,427,0
3000000005,1494,26,1,0,0,0,0,0,03/07/2024,04/07/2024,0,0,0,0,0
3000000005,1085,217,7,0,0,0,5120,0,02/08/2024,09/08/2024,0,0,0,2826,0
3000000005,1159,95.6,7,0,0,0,5000,0,08/08/2024,15/08/2024,0,0,0,1725,0
3000000005,1636,2250,1,6000,450,6000,20000,0,23/09/2024,24/09/2024,900,8,751,7630,0
3000000005,1063,21,1,1440,0,1500,250,0,18/10/2024,19/10/2024,580,0,1420,10,0
3000000005,1684,2151,7,0,0,0,500,0,24/11/2024,01/12/2024,0,0,0,54,0
3000000005,2908,1478,30,3000,500,3000,20480,0,19/12/2024,18/01/2025,2901,19,2671,4206,0
3000000006,1062,11.94,1,0,0,1000,250,0,17/01/2024,18/01/2024,0,0,87,229,0
3000000006,1619,125,1,0,0,750,0,0,04/02/2024,05/02/2024,0,0,351,0,0
3000000006,1528,220,3,0,0,0,7168,1024,22/02/2024,25/02/2024,0,0,0,59,218
3000000006,1107,5030,3,2800,1200,1000,0,0,12/02/2024,15/02/2024,875,420,132,0,0
3000000006,2401,652,7,3000,300,3000,0,0,14/03/2024,21/03/2024,559,183,2046,0,0
3000000006,1400,20,3,0,0,1500,0,0,15/04/2024,18/04/2024,0,0,1345,0,0
3000000006,1448,210,7,0,0,0,6144,0,08/04/2024,15/04/2024,0,0,0,819,0
3000000006,1401,34,30,0,0,1500,0,25,15/04/2024,15/05/2024,0,0,477,0,20
3000000006,1125,888.01,3,4000,200,4000,8192,0,16/05/2024,19/05/2024,3644,184,335,3024,0
3000000006,1058,1565,1,3000,500,3000,25600,0,03/05/2024,04/05/2024,167,23,507,11311,0
3000000006,1623,69,7,0,0,0,0,5120,03/05/2024,10/05/2024,0,0,0,0,2608
3000000006,2533,100,7,0,0,0,0,5120,26/06/2024,03/07/2024,0,0,0,0,4225
3000000006,3418,40,7,1440,10,1440,1024,0,14/06/2024,21/06/2024,15,1,449,440,0
3000000006,1690,7767.5,7,0,0,0,3072,0,15/07/2024,22/07/2024,0,0,0,1025,0
3000000006,1086,652,3,0,0,0,5120,0,05/08/2024,08/08/2024,0,0,0,2391,0
3000000006,1569,1000,3,0,0,0,10240,0,29/08/2024,01/09/2024,0,0,0,3399,0
3000000006,1135,14.34,30,1440,0,1500,250,0,10/08/2024,09/09/2024,564,0,380,83,0
3000000006,1157,885,3,0,0,0,10240,0,16/09/2024,19/09/2024,0,0,0,3934,0
3000000006,1498,347,3,300,50,1000,0,6144,14/09/2024,17/09/2024,113,7,918,0,5435
3000000006,1479,260,30,0,0,0,8192,0,27/10/2024,26/11/2024,0,0,0,1153,0
3000000006,1374,1500,30,0,300,300,1024,0,28/11/2024,28/12/2024,0,10,204,252,0
3000000006,2671,173,3,4000,80,4000,8192,0,16/11/2024,19/11/2024,99,75,2134,4442,0
3000000006,2404,347.82,30,0,0,0,8192,0,15/12/2024,14/01/2025,0,0,0,6737,0
3000000006,1666,27,30,0,0,6000,51200,0,28/12/2024,27/01/2025,0,0,4048,23850,0
3000000007,2350,1800,7,0,0,0,500,0,05/01/2024,12/01/2024,0,0,0,380,0
3000000007,2968,86.95,7,0,0,100,2048,0,27/02/2024,05/03/2024,0,0,89,1540,0
3000000007,2908,1478,30,3000,500,3000,20480,0,10/02/2024,11/03/2024,2535,131,422,4805,0
3000000007,1119,2100,1,2000,300,2000,2048,0,16/03/2024,17/03/2024,202,46,1624,264,0
3000000007,1071,42,7,0,0,0,1024,0,18/03/2024,25/03/2024,0,0,0,428,0
3000000007,1611,182.6,7,0,0,0,0,6144,25/03/2024,01/04/2024,0,0,0,0,4105
3000000007,1105,950,1,0,0,0,0,0,29/04/2024,30/04/2024,0,0,0,0,0
3000000007,1125,888.01,3,4000,200,4000,8192,0,17/04/2024,20/04/2024,1039,190,347,3282,0
3000000007,1541,215,3,500,25,500,0,8192,14/05/2024,17/05/2024,97,17,116,0,7085
3000000007,1450,210,30,0,0,0,6144,0,18/05/2024,17/06/2024,0,0,0,1620,0
3000000007,1109,3300,3,7000,500,7000,6144,0,17/06/2024,20/06/2024,5671,95,2850,2117,0
3000000007,3562,1799,3,0,0,0,2048,0,05/06/2024,08/06/2024,0,0,0,1147,0
3000000007,1515,1300,7,3000,500,3000,40960,0,21/07/2024,28/07/2024,721,315,809,26676,0
3000000007,1475,147,3,120,50,0,0,0,24/07/2024,27/07/2024,50,28,0,0,0
3000000007,1086,652,3,0,0,0,5120,0,23/07/2024,26/07/2024,0,0,0,3247,0
3000000007,1383,189,30,0,0,0,0,0,06/08/2024,05/09/2024,0,0,0,0,0
3000000007,1151,59.75,3,0,0,0,300,0,03/09/2024,06/09/2024,0,0,0,238,0
3000000007,3571,69.5,30,500,0,500,0,0,11/10/2024,10/11/2024,214,0,431,0,0
3000000007,1152,85,7,0,0,0,0,0,28/11/2024,05/12/2024,0,0,0,0,0
3000000007,1156,150,30,0,0,0,0,0,02/11/2024,02/12/2024,0,0,0,0,0
3000000007,1105,950,1,0,0,0,0,0,01/12/2024,02/12/2024,0,0,0,0,0
3000000007,1138,11.94,3,1440,0,1500,100,0,04/12/2024,07/12/2024,802,0,281,77,0
3000000008,1493,217,3,100,0,1000,10240,0,20/01/2024,23/01/2024,36,0,8,1502,0
3000000008,1062,11.94,1,0,0,1000,250,0,18/01/2024,19/01/2024,0,0,879,170,0
3000000008,1678,434,30,300,50,300,10240,0,24/01/2024,23/02/2024,82,11,134,720,0
3000000008,3235,2000,30,0,0,5000,204800,0,03/02/2024,04/03/2024,0,0,812,23938,0
3000000008,2902,20,30,0,0,1000,0,0,08/02/2024,09/03/2024,0,0,76,0,0
3000000008,2362,1913,3,3000,750,3000,102400,0,17/02/2024,20/02/2024,2209,100,1971,62967,0
3000000008,3421,60,7,2880,15,2880,2048,0,04/03/2024,11/03/2024,1676,5,2095,906,0
3000000008,2374,700,7,0,0,0,5000,0,26/03/2024,02/04/2024,0,0,0,974,0
3000000008,1632,1650,1,3000,300,3000,3072,0,24/03/2024,25/03/2024,1831,213,2975,1717,0
3000000008,2875,478,7,1000,150,1000,15360,0,17/04/2024,24/04/2024,944,18,125,14629,0
3000000008,1144,200,1,0,0,0,7168,0,18/04/2024,19/04/2024,0,0,0,6226,0
3000000008,1548,100,30,1000,0,0,0,1024,28/04/2024,28/05/2024,54,0,0,0,595
3000000008,1501,86,7,1000,10,1000,1024,0,24/05/2024,31/05/2024,451,8,97,209,0
3000000008,2761,565,7,1000,500,1000,51200,51200,04/05/2024,11/05/2024,154,129,121,34249,36924
3000000008,2347,800,1,0,0,0,200,0,29/05/2024,30/05/2024,0,0,0,89,0
3000000008,1140,23.9,1,0,0,0,0,0,29/06/2024,30/06/2024,0,0,0,0,0
3000000008,1396,600,30,2000,150,2000,2000,0,16/06/2024,16/07/2024,1075,66,1086,1662,0
3000000008,1100,500,7,0,0,0,0,0,11/07/2024,18/07/2024,0,0,0,0,0
3000000008,1110,6030,3,2800,1200,1000,0,0,22/07/2024,25/07/2024,2097,353,433,0,0
3000000008,1142,375,30,0,0,0,4096,0,20/08/2024,19/09/2024,0,0,0,3559,0
3000000008,1393,2750,3,0,500,0,7000,0,15/09/2024,18/09/2024,0,160,0,4964,0
3000000008,1508,139,3,20,20,200,4000,0,04/09/2024,07/09/2024,14,15,60,2199,0
3000000008,1684,2151,7,0,0,0,500,0,20/09/2024,27/09/2024,0,0,0,34,0
3000000008,1620,2000,30,0,0,1000,2048,0,15/10/2024,14/11/2024,0,0,63,1740,0
3000000008,1450,210,30,0,0,0,6144,0,01/10/2024,31/10/2024,0,0,0,5229,0
3000000008,1515,1300,7,3000,500,3000,40960,0,30/11/2024,07/12/2024,2524,212,851,27305,0
3000000008,1374,1500,30,0,300,300,1024,0,30/12/2024,29/01/2025,0,93,234,683,0
3000000009,2656,1150,1,3500,200,3500,10240,0,01/01/2024,02/01/2024,3250,36,1494,1208,0
3000000009,1484,1304.34,30,0,0,0,30720,0,12/01/2024,11/02/2024,0,0,0,4206,0
3000000009,1090,173,3,0,0,0,5000,0,10/01/2024,13/01/2024,0,0,0,4534,0
3000000009,1118,625,30,300,300,300,1024,0,09/02/2024,10/03/2024,198,292,141,272,0
3000000009,1386,675,7,0,0,0,0,0,26/03/2024,02/04/2024,0,0,0,0,0
3000000009,1663,652,3,2500,250,2500,10240,0,27/03/2024,30/03/2024,1923,223,1530,7898,0
3000000009,1636,2250,1,6000,450,6000,20000,0,09/03/2024,10/03/2024,1463,421,5605,18738,0
3000000009,1387,125,7,0,0,0,0,0,11/04/2024,18/04/2024,0,0,0,0,0
3000000009,1159,95.6,7,0,0,0,5000,0,09/05/2024,16/05/2024,0,0,0,2556,0
3000000009,1601,286,7,5000,100,5000,12288,0,05/05/2024,12/05/2024,3310,99,561,9114,0
3000000009,1146,20.32,30,0,0,0,2000,0,07/05/2024,06/06/2024,0,0,0,817,0
3000000009,1136,14.34,7,1440,0,1500,250,0,01/06/2024,08/06/2024,76,0,1255,87,0
3000000009,2347,800,1,0,0,0,200,0,07/06/2024,08/06/2024,0,0,0,72,0
3000000009,1063,21,1,1440,0,1500,250,0,30/06/2024,01/07/2024,1054,0,746,128,0
3000000009,1570,891.86,30,0,0,0,16000,0,14/07/2024,13/08/2024,0,0,0,4832,0
3000000009,1079,20,7,0,0,0,50,0,26/08/2024,02/09/2024,0,0,0,19,0
3000000009,1096,800,7,0,0,0,4096,0,20/09/2024,27/09/2024,0,0,0,3815,0
3000000009,3250,607.83,7,3000,0,3000,30720,0,07/10/2024,14/10/2024,2075,0,2733,10700,0
3000000009,1385,525,7,0,0,0,0,0,09/11/2024,16/11/2024,0,0,0,0,0
3000000009,1143,600,30,0,0,0,6144,0,24/11/2024,24/12/2024,0,0,0,236,0
3000000009,2878,200,7,1000,0,0,1024,0,29/12/2024,05/01/2025,135,0,0,688,0
3000000010,1124,444,30,333,50,1000,1024,0,05/01/2024,04/02/2024,296,43,503,575,0
3000000010,1096,800,7,0,0,0,4096,0,07/02/2024,14/02/2024,0,0,0,3362,0
3000000010,1090,173,3,0,0,0,5000,0,22/03/2024,25/03/2024,0,0,0,3696,0
3000000010,1145,240,7,0,0,0,0,0,30/04/2024,07/05/2024,0,0,0,0,0
3000000010,1115,1650,1,450,0,0,500,0,24/04/2024,25/04/2024,226,0,0,429,0
3000000010,1587,339.13,7,0,0,0,10240,0,21/05/2024,28/05/2024,0,0,0,7078,0
3000000010,1590,90,1,250,35,2000,0,4096,29/05/2024,30/05/2024,137,20,748,0,653
3000000010,1132,118.31,7,1500,0,1500,1500,0,25/06/2024,02/07/2024,358,0,165,757,0
3000000010,2968,86.95,7,0,0,100,2048,0,30/06/2024,07/07/2024,0,0,3,793,0
3000000010,1603,174,30,300,40,2000,0,4096,21/07/2024,20/08/2024,289,10,1643,0,2995
3000000010,2374,700,7,0,0,0,5000,0,21/08/2024,28/08/2024,0,0,0,965,0
3000000010,1112,2750,3,0,0,0,1024,0,30/09/2024,03/10/2024,0,0,0,630,0
3000000010,1163,300,3,60,0,2,1000,0,20/09/2024,23/09/2024,39,0,1,374,0
3000000010,1449,17,7,300,0,0,150,0,16/10/2024,23/10/2024,182,0,0,23,0
3000000010,2632,347.82,7,0,0,0,51200,0,27/10/2024,03/11/2024,0,0,0,33451,0
3000000010,1065,304,30,0,0,1000,10240,0,12/10/2024,11/11/2024,0,0,774,3547,0
3000000010,1636,2250,1,6000,450,6000,20000,0,09/11/2024,10/11/2024,3282,196,2625,19768,0
3000000010,1556,60,1,600,30,600,6144,0,24/12/2024,25/12/2024,393,23,366,4660,0
3000000011,3514,608,7,2000,600,2000,102400,0,31/01/2024,07/02/2024,949,278,518,77194,0
3000000011,1587,339.13,7,0,0,0,10240,0,31/01/2024,07/02/2024,0,0,0,8506,0
3000000011,2329,78,1,1000,10,1000,100,0,25/02/2024,26/02/2024,76,9,416,30,0
3000000011,1620,2000,30,0,0,1000,2048,0,15/03/2024,14/04/2024,0,0,337,775,0
3000000011,1478,121,3,1000,40,0,1024,0,01/03/2024,04/03/2024,162,2,0,1007,0
3000000011,1154,140,7,0,0,0,3072,0,02/03/2024,09/03/2024,0,0,0,2028,0
3000000011,2761,565,7,1000,500,1000,51200,51200,18/04/2024,25/04/2024,274,121,444,35595,43558
3000000011,1394,600,7,0,150,2000,2000,0,01/04/2024,08/04/2024,0,44,242,863,0
3000000011,1602,120,3,0,0,12000,0,5120,22/05/2024,25/05/2024,0,0,9802,0,576
3000000011,2320,173.91,1,0,0,0,10240,0,14/05/2024,15/05/2024,0,0,0,8932,0
3000000011,1078,27,30,0,0,0,0,1024,04/06/2024,04/07/2024,0,0,0,0,371
3000000011,1157,885,3,0,0,0,10240,0,28/06/2024,01/07/2024,0,0,0,4403,0
3000000011,1158,143.4,7,0,0,0,2000,0,23/07/2024,30/07/2024,0,0,0,495,0
3000000011,1150,59.75,7,0,0,0,300,0,21/07/2024,28/07/2024,0,0,0,266,0
3000000011,1093,52,30,0,0,0,100,0,13/07/2024,12/08/2024,0,0,0,61,0
3000000011,1050,417,3,300,50,1000,10240,0,22/08/2024,25/08/2024,186,2,400,3479,0
3000000011,1061,150,3,1000,50,1000,1024,0,31/08/2024,03/09/2024,301,1,141,694,0
3000000011,1132,118.31,7,1500,0,1500,1500,0,10/08/2024,17/08/2024,1104,0,393,1318,0
3000000011,1373,1100,7,1000,165,1000,1536,0,18/09/2024,25/09/2024,113,129,839,64,0
3000000011,1066,11.94,1,1440,0,1500,100,0,16/09/2024,17/09/2024,658,0,1356,76,0
3000000011,1448,210,7,0,0,0,6144,0,21/10/2024,28/10/2024,0,0,0,293,0
3000000011,1078,27,30,0,0,0,0,1024,05/10/2024,04/11/2024,0,0,0,0,95
3000000011,1453,434,7,1000,120,1000,10240,0,26/11/2024,03/12/2024,349,67,651,2193,0
3000000011,1622,350,30,2000,200,4000,5000,0,19/11/2024,19/12/2024,1095,179,3076,3538,0
3000000011,1681,956,3,0,0,0,200,0,11/12/2024,14/12/2024,0,0,0,129,0
3000000012,1635,1250,1,3000,250,3000,12288,0,27/01/2024,28/01/2024,708,76,1121,908,0
3000000012,1619,125,1,0,0,750,0,0,15/02/2024,16/02/2024,0,0,734,0,0
3000000012,2920,243,7,0,0,0,0,9216,25/02/2024,03/03/2024,0,0,0,0,255
3000000012,1063,21,1,1440,0,1500,250,0,27/02/2024,28/02/2024,590,0,26,5,0
3000000012,1103,500,1,0,0,0,0,0,03/03/2024,04/03/2024,0,0,0,0,0
3000000012,1064,21,3,1440,0,1500,250,0,16/03/2024,19/03/2024,1105,0,29,39,0
3000000012,1573,1750,1,6000,400,6000,20480,0,25/04/2024,26/04/2024,1245,51,547,2661,0
3000000012,1568,750,30,0,0,0,4096,0,29/05/2024,28/06/2024,0,0,0,1235,0
3000000012,1381,1870,1,0,0,0,50000,0,03/05/2024,04/05/2024,0,0,0,6212,0
3000000012,1152,85,7,0,0,0,0,0,09/05/2024,16/05/2024,0,0,0,0,0
3000000012,1102,218.3,3,0,0,0,0,0,05/06/2024,08/06/2024,0,0,0,0,0
3000000012,1130,13,3,300,0,300,20,0,30/07/2024,02/08/2024,192,0,42,15,0
3000000012,3550,2173,3,5000,1500,5000,204800,0,09/07/2024,12/07/2024,4641,1047,153,184475,0
3000000012,1546,20,7,250,0,0,0,1024,04/07/2024,11/07/2024,33,0,0,0,883
3000000012,2350,1800,7,0,0,0,500,0,30/08/2024,06/09/2024,0,0,0,146,0
3000000012,2914,5975,1,0,0,0,6144,0,21/08/2024,22/08/2024,0,0,0,3711,0
3000000012,1631,1250,3,4500,300,1000,1024,0,04/08/2024,07/08/2024,2772,235,47,833,0
3000000012,1465,80,7,0,0,0,0,0,22/09/2024,29/09/2024,0,0,0,0,0
3000000012,1590,90,1,250,35,2000,0,4096,12/10/2024,13/10/2024,61,23,1879,0,2843
3000000012,1066,11.94,1,1440,0,1500,100,0,09/11/2024,10/11/2024,582,0,232,95,0
3000000012,1389,225,3,0,0,6000,0,0,04/12/2024,07/12/2024,0,0,3008,0,0
3000000012,1109,3300,3,7000,500,7000,6144,0,21/12/2024,24/12/2024,387,300,1707,366,0
3000000012,1455,230,7,0,0,0,5120,0,28/12/2024,04/01/2025,0,0,0,948,0
3000000013,2914,5975,1,0,0,0,6144,0,23/01/2024,24/01/2024,0,0,0,1731,0
3000000013,3568,4499,7,0,0,0,5120,0,15/01/2024,22/01/2024,0,0,0,3463,0
3000000013,1110,6030,3,2800,1200,1000,0,0,18/02/2024,21/02/2024,1890,451,752,0,0
3000000013,1567,2300,30,0,0,0,28672,0,16/02/2024,17/03/2024,0,0,0,13571,0
3000000013,1501,86,7,1000,10,1000,1024,0,09/02/2024,16/02/2024,660,8,507,530,0
3000000013,1528,220,3,0,0,0,7168,1024,21/03/2024,24/03/2024,0,0,0,2547,623
3000000013,1666,27,30,0,0,6000,51200,0,11/04/2024,11/05/2024,0,0,4564,40169,0
3000000013,3232,1739.13,7,0,0,2500,76800,0,13/05/2024,20/05/2024,0,0,1698,39117,0
3000000013,2527,2390,1,0,0,0,2048,0,13/05/2024,14/05/2024,0,0,0,1764,0
